pais_grupo,valores_nivel_1,valores_nivel_2,n_grupos,n_registros,promedio_anios,anio_min_global,anio_max_global
El Salvador,"31 Cultivos intensivos No-Arbóreos,32 Cultivos Arbóreos","315 Otros cultivos intensivos no arbóreos,323 Frutales",927,1854,2.0,2000,2018
Costa Rica,"11 Urbano,44 Otros arbóreo en tierras no agrícola","110 Urbano,443  Árboles fuera de bosque y otras áreas naturales",578,1734,3.0,2005,2018
El Salvador,"41 Bosque latifoliado y mixto,31 Cultivos intensivos No-Arbóreos","410 Bosque latifoliado y mixto,313 Caña de azúcar",735,1731,2.3551020408163263,2000,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","313 Caña de azúcar,333 Matorrales (barbecho o en descanso)",721,1679,2.3287101248266295,2000,2018
Costa Rica,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados",815,1630,1.0,2021,2021
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano,91 Otras","332 Pastizales naturales y cultivados,110 Urbano,910 Otras",538,1614,3.0,2005,2018
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",532,1596,3.0,2001,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","332 Pastizales naturales y cultivados,110 Urbano",519,1557,3.0,2005,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,32 Cultivos Arbóreos","315 Otros cultivos intensivos no arbóreos,325 Otros sistemas agroforestales o silvopastoriles",743,1486,2.0,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,323 Frutales",656,1476,2.25,2000,2018
El Salvador,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola","410 Bosque latifoliado y mixto,443  Árboles fuera de bosque y otras áreas naturales",491,1473,3.0,2001,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,91 Otras","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados,910 Otras",486,1458,3.0,2005,2017
Belice,41 Bosque latifoliado y mixto,"411 Latifoliado maduro húmedo,412 Latifoliado secundario húmedo",71,1349,19.0,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","331 Granos básicos y hortalizas  y otros,323 Frutales",438,1314,3.0,2001,2018
Belice,"33 Cultivos extensivos, Pastizales y matorrales,42 Bosque de coníferas","333 Matorrales (barbecho o en descanso),420 Bosque de coníferas",68,1292,19.0,2000,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,11 Urbano","315 Otros cultivos intensivos no arbóreos,112 Urbano discontinuo",633,1266,2.0,2000,2018
El Salvador,"41 Bosque latifoliado y mixto,32 Cultivos Arbóreos","410 Bosque latifoliado y mixto,325 Otros sistemas agroforestales o silvopastoriles",571,1255,2.1978984238178634,2000,2018
Belice,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","315 Otros cultivos intensivos no arbóreos,333 Matorrales (barbecho o en descanso)",66,1254,19.0,2000,2018
El Salvador,"44 Otros arbóreo en tierras no agrícola,32 Cultivos Arbóreos","443  Árboles fuera de bosque y otras áreas naturales,321 Café",406,1218,3.0,2001,2018
El Salvador,"11 Urbano,44 Otros arbóreo en tierras no agrícola","112 Urbano discontinuo,443  Árboles fuera de bosque y otras áreas naturales",398,1194,3.0,2001,2018
Honduras,32 Cultivos Arbóreos,"321 Café,325 Otros sistemas agroforestales o silvopastoriles",66,1188,18.0,2005,2022
El Salvador,"41 Bosque latifoliado y mixto,11 Urbano","410 Bosque latifoliado y mixto,112 Urbano discontinuo",468,1164,2.4871794871794872,2000,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",399,1134,2.6842105263157894,2005,2021
Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,331 Granos básicos y hortalizas  y otros",62,1116,18.0,2005,2022
Honduras,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,332 Pastizales naturales y cultivados",56,1008,18.0,2005,2022
Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,332 Pastizales naturales y cultivados",55,990,18.0,2005,2022
El Salvador,"11 Urbano,32 Cultivos Arbóreos","112 Urbano discontinuo,321 Café",385,948,2.4623376623376623,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,12 Otras tierras","333 Matorrales (barbecho o en descanso),122 Suelo desnudo, arena, rocoso, lava, otros",391,931,2.3810741687979537,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),325 Otros sistemas agroforestales o silvopastoriles",444,908,2.045045045045045,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","332 Pastizales naturales y cultivados,111 Urbano continuo",332,890,2.680722891566265,2000,2018
Honduras,"41 Bosque latifoliado y mixto,32 Cultivos Arbóreos","410 Bosque latifoliado y mixto,321 Café",49,882,18.0,2005,2022
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,321 Café",316,831,2.6297468354430378,2000,2018
Costa Rica,"44 Otros arbóreo en tierras no agrícola,91 Otras,32 Cultivos Arbóreos","443  Árboles fuera de bosque y otras áreas naturales,910 Otras,321 Café",275,825,3.0,2005,2017
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",269,807,3.0,2001,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,333 Matorrales (barbecho o en descanso)",267,801,3.0,2001,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros,332 Pastizales naturales y cultivados",266,798,3.0,2001,2018
El Salvador,11 Urbano,"112 Urbano discontinuo,111 Urbano continuo",297,780,2.6262626262626263,2000,2018
El Salvador,"11 Urbano,32 Cultivos Arbóreos","111 Urbano continuo,321 Café",274,776,2.832116788321168,2000,2018
Honduras,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,333 Matorrales (barbecho o en descanso)",115,774,6.730434782608696,2000,2022
El Salvador,32 Cultivos Arbóreos,"321 Café,323 Frutales",323,773,2.393188854489164,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",250,750,3.0,2001,2018
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",249,747,3.0,2001,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","331 Granos básicos y hortalizas  y otros,112 Urbano discontinuo",242,726,3.0,2001,2018
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",240,720,3.0,2001,2018
El Salvador,"11 Urbano,32 Cultivos Arbóreos","112 Urbano discontinuo,325 Otros sistemas agroforestales o silvopastoriles",353,714,2.0226628895184136,2000,2018
El Salvador,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola","410 Bosque latifoliado y mixto,441 Masa arbórea ribereña",233,699,3.0,2001,2018
El Salvador,"11 Urbano,44 Otros arbóreo en tierras no agrícola","111 Urbano continuo,443  Árboles fuera de bosque y otras áreas naturales",232,696,3.0,2001,2018
Belice,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,333 Matorrales (barbecho o en descanso)",36,684,19.0,2000,2018
Honduras,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",63,670,10.634920634920634,2000,2022
Belice,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",35,665,19.0,2000,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,32 Cultivos Arbóreos","313 Caña de azúcar,323 Frutales",283,664,2.3462897526501765,2000,2018
Honduras,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,333 Matorrales (barbecho o en descanso)",36,648,18.0,2005,2022
Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","413 Bosque Mixto (Lat-Coniferas),333 Matorrales (barbecho o en descanso)",36,648,18.0,2005,2022
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),323 Frutales",279,642,2.3010752688172045,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano","333 Matorrales (barbecho o en descanso),112 Urbano discontinuo",287,633,2.205574912891986,2000,2018
Honduras,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","311 Palma aceitera,331 Granos básicos y hortalizas  y otros",35,630,18.0,2005,2022
Honduras,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",35,630,18.0,2005,2022
Belice,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola","412 Latifoliado secundario húmedo,444 Regeneración forestal",33,627,19.0,2000,2018
Honduras,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",57,626,10.982456140350877,2000,2022
Honduras,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","414 Bosque seco o deciduo,331 Granos básicos y hortalizas  y otros",34,612,18.0,2005,2022
Belice,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","315 Otros cultivos intensivos no arbóreos,332 Pastizales naturales y cultivados",32,608,19.0,2000,2018
Honduras,"32 Cultivos Arbóreos,42 Bosque de coníferas","321 Café,420 Bosque de coníferas",33,594,18.0,2005,2022
Belice,"44 Otros arbóreo en tierras no agrícola,42 Bosque de coníferas","443  Árboles fuera de bosque y otras áreas naturales,420 Bosque de coníferas",31,589,19.0,2000,2018
El Salvador,"41 Bosque latifoliado y mixto,32 Cultivos Arbóreos","410 Bosque latifoliado y mixto,323 Frutales",249,587,2.357429718875502,2000,2018
Honduras,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,321 Café",32,576,18.0,2005,2022
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,12 Otras tierras","332 Pastizales naturales y cultivados,122 Suelo desnudo, arena, rocoso, lava, otros",250,575,2.3,2000,2018
Costa Rica,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales,91 Otras","412 Latifoliado secundario húmedo,331 Granos básicos y hortalizas  y otros,910 Otras",188,564,3.0,2005,2017
Costa Rica,"21 Cuerpos de Agua,91 Otras","210 Cuerpos de Agua,910 Otras",184,552,3.0,2005,2016
Guatemala,"33 Cultivos extensivos, Pastizales y matorrales","333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",272,544,2.0,2006,2016
Honduras,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","315 Otros cultivos intensivos no arbóreos,333 Matorrales (barbecho o en descanso)",270,540,2.0,2000,2018
Honduras,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros",30,540,18.0,2005,2022
El Salvador,31 Cultivos intensivos No-Arbóreos,"313 Caña de azúcar,315 Otros cultivos intensivos no arbóreos",269,538,2.0,2000,2018
Costa Rica,"22 Humedales,91 Otras","220 Humedales,910 Otras",192,531,2.53125,2005,2021
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales","332 Pastizales naturales y cultivados,333 Matorrales (barbecho o en descanso),331 Granos básicos y hortalizas  y otros",176,528,3.0,2001,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","332 Pastizales naturales y cultivados,443  Árboles fuera de bosque y otras áreas naturales",171,513,3.0,2001,2018
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,331 Granos básicos y hortalizas  y otros,333 Matorrales (barbecho o en descanso)",168,504,3.0,2001,2018
Costa Rica,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales,91 Otras","311 Palma aceitera,331 Granos básicos y hortalizas  y otros,910 Otras",167,501,3.0,2005,2017
Costa Rica,"31 Cultivos intensivos No-Arbóreos,44 Otros arbóreo en tierras no agrícola,91 Otras","311 Palma aceitera,443  Árboles fuera de bosque y otras áreas naturales,910 Otras",166,498,3.0,2005,2017
Costa Rica,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","411 Latifoliado maduro húmedo,332 Pastizales naturales y cultivados",163,489,3.0,2005,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","333 Matorrales (barbecho o en descanso),321 Café",196,487,2.4846938775510203,2000,2018
Honduras,"33 Cultivos extensivos, Pastizales y matorrales","331 Granos básicos y hortalizas  y otros,333 Matorrales (barbecho o en descanso)",27,486,18.0,2005,2022
Costa Rica,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","412 Latifoliado secundario húmedo,332 Pastizales naturales y cultivados",160,480,3.0,2005,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,91 Otras,32 Cultivos Arbóreos","332 Pastizales naturales y cultivados,910 Otras,321 Café",147,441,3.0,2005,2016
Guatemala,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,333 Matorrales (barbecho o en descanso)",208,416,2.0,2000,2018
Costa Rica,"21 Cuerpos de Agua,44 Otros arbóreo en tierras no agrícola","210 Cuerpos de Agua,443  Árboles fuera de bosque y otras áreas naturales",138,414,3.0,2005,2017
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales,32 Cultivos Arbóreos","410 Bosque latifoliado y mixto,331 Granos básicos y hortalizas  y otros,321 Café",138,414,3.0,2001,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,11 Urbano,91 Otras","331 Granos básicos y hortalizas  y otros,110 Urbano,910 Otras",137,411,3.0,2005,2018
Costa Rica,"41 Bosque latifoliado y mixto,31 Cultivos intensivos No-Arbóreos,91 Otras","411 Latifoliado maduro húmedo,311 Palma aceitera,910 Otras",136,408,3.0,2005,2016
Costa Rica,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola,91 Otras","411 Latifoliado maduro húmedo,443  Árboles fuera de bosque y otras áreas naturales,910 Otras",135,405,3.0,2005,2016
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","331 Granos básicos y hortalizas  y otros,443  Árboles fuera de bosque y otras áreas naturales",135,405,3.0,2001,2018
Costa Rica,"12 Otras tierras,44 Otros arbóreo en tierras no agrícola","122 Suelo desnudo, arena, rocoso, lava, otros,443  Árboles fuera de bosque y otras áreas naturales",134,402,3.0,2005,2018
El Salvador,"41 Bosque latifoliado y mixto,44 Otros arbóreo en tierras no agrícola,32 Cultivos Arbóreos","410 Bosque latifoliado y mixto,443  Árboles fuera de bosque y otras áreas naturales,321 Café",129,387,3.0,2001,2018
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","332 Pastizales naturales y cultivados,331 Granos básicos y hortalizas  y otros,443  Árboles fuera de bosque y otras áreas naturales",127,381,3.0,2005,2018
Belice,"21 Cuerpos de Agua,42 Bosque de coníferas","212 Cuerpos de agua artificial,423 Sabanas de pino",20,380,19.0,2000,2018
El Salvador,11 Urbano,"111 Urbano continuo,112 Urbano discontinuo",148,369,2.4932432432432434,2000,2018
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","332 Pastizales naturales y cultivados,442 Plantaciones forestales",184,368,2.0,2000,2018
El Salvador,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","313 Caña de azúcar,333 Matorrales (barbecho o en descanso),332 Pastizales naturales y cultivados",122,366,3.0,2001,2018
Belice,"31 Cultivos intensivos No-Arbóreos,33 Cultivos extensivos, Pastizales y matorrales","315 Otros cultivos intensivos no arbóreos,331 Granos básicos y hortalizas  y otros",19,361,19.0,2000,2018
Belice,"41 Bosque latifoliado y mixto,11 Urbano","412 Latifoliado secundario húmedo,110 Urbano",19,361,19.0,2000,2018
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales,44 Otros arbóreo en tierras no agrícola","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados,443  Árboles fuera de bosque y otras áreas naturales",120,360,3.0,2001,2018
Guatemala,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados",178,356,2.0,2006,2016
El Salvador,"41 Bosque latifoliado y mixto,12 Otras tierras","410 Bosque latifoliado y mixto,122 Suelo desnudo, arena, rocoso, lava, otros",153,355,2.320261437908497,2000,2018
Costa Rica,"41 Bosque latifoliado y mixto,91 Otras","410 Bosque latifoliado y mixto,910 Otras",177,354,1.0,2021,2021
El Salvador,"41 Bosque latifoliado y mixto,33 Cultivos extensivos, Pastizales y matorrales","410 Bosque latifoliado y mixto,332 Pastizales naturales y cultivados,333 Matorrales (barbecho o en descanso)",118,354,3.0,2001,2018
