id_registro,id_muestra_original,Fuente,id_fuente,Pais_es,Pais_cod3,Año,Longitud,Latitud,Clase,GranClase,nombre_clase,nombre_gran_clase,revision_nulos_tematicos,motivo_revision,id_nivel_0,nivel_0,id_nivel_1,nivel_1,id_nivel_2,nivel_2,homologacion_tipo_equivalencia,homologacion_confianza,homologacion_requiere_revision,homologacion_nota,homologacion_encontrada,xy_group_id,xy_year_group_id,xy_class_group_id
SRC10_0000001,604,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.540825,10.167554,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__4919ffb85de7,SRC10_CRI_2021_A1__XYY__526b73b98034,SRC10_CRI_2021_A1__XYC__c5ce4f324582
SRC10_0000002,605,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.691296,10.167468,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__93eee689ea35,SRC10_CRI_2021_A1__XYY__74120204fb2b,SRC10_CRI_2021_A1__XYC__3f25abfa1659
SRC10_0000003,606,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.546768,10.170073,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__2e0105bcbd18,SRC10_CRI_2021_A1__XYY__58a82fb9c28a,SRC10_CRI_2021_A1__XYC__c0a7553b5677
SRC10_0000004,607,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.539242,10.168768,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__95ab7c5e61e1,SRC10_CRI_2021_A1__XYY__f4283ac1d80b,SRC10_CRI_2021_A1__XYC__2444f05d7c77
SRC10_0000005,608,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.524773,10.168804,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__72f59dde4924,SRC10_CRI_2021_A1__XYY__c8ad6fc4a375,SRC10_CRI_2021_A1__XYC__fcbe68bf92c2
SRC10_0000006,609,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.541733,10.169004,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__5656aa1e03db,SRC10_CRI_2021_A1__XYY__a0aa2e42eca6,SRC10_CRI_2021_A1__XYC__27b43e462e5f
SRC10_0000007,610,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.532176,10.169386,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__1fc159d0000a,SRC10_CRI_2021_A1__XYY__96a03278543f,SRC10_CRI_2021_A1__XYC__8a4651811448
SRC10_0000008,611,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.69088,10.168953,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__308cddbea8db,SRC10_CRI_2021_A1__XYY__178e58ac2a0a,SRC10_CRI_2021_A1__XYC__65024d9f2b78
SRC10_0000009,612,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.542182,10.169739,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__0e4b7e221031,SRC10_CRI_2021_A1__XYY__cc04613ecc7f,SRC10_CRI_2021_A1__XYC__a1eac0e74e52
SRC10_0000010,613,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",10,Costa Rica,CRI,2021,-85.683372,10.169215,16,16,Edificaciones,Edificaciones,0,,10,Artificializado y otra tierras,11,Urbano,110,Urbano,semantica_directa,alta,0,,1,SRC10_CRI_2021_A1__XY__bc3f769a9001,SRC10_CRI_2021_A1__XYY__56eeb03c372d,SRC10_CRI_2021_A1__XYC__47fb6769accc
